Month,NPS_Target,NES_Target
01/04/2019,,
01/05/2019,,
01/06/2019,,
01/07/2019,,
01/08/2019,,
01/09/2019,,
01/10/2019,,
01/11/2019,,
01/12/2019,,
01/01/2020,,
01/02/2020,,
01/03/2020,,
01/04/2020,,40
01/05/2020,,40
01/06/2020,,40
01/07/2020,,40
01/08/2020,,40
01/09/2020,,40
01/10/2020,,40
01/11/2020,,40
01/12/2020,,40
01/01/2021,,40
01/02/2021,,40
01/03/2021,,40
01/04/2021,-40,40
01/05/2021,-40,40
01/06/2021,-40,40
01/07/2021,-40,40
01/08/2021,-40,40
01/09/2021,-40,40
01/10/2021,-40,40
01/11/2021,-40,40
01/12/2021,-40,40
01/01/2022,-40,40
01/02/2022,-40,40
01/03/2022,-40,40
